Type,Title,Director,Casting,Country,Date Added,Rating,Duration,Genres,Description,Release Year,Imdb Score,Imdb Votes
Movie,Cam,Daniel Goldhaber,"Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid, Imani Hakim, Michael Dempsey, Flora Diaz, Samantha Robinson, Jessica Parker Kennedy, Quei Tann",United States,"November 16, 2018",TV-MA,95 min,"Horror Movies, Independent Movies, Thrillers",A young camgirl discovers that sheâ€™s inexplicably been replaced on her site with an exact replica of herself.,2018,5.9,31042.0
Movie,Nothing to Hide,Fred Cavayé,"Bérénice Bejo, Suzanne Clément, Stéphane De Groodt, Vincent Elbaz, Grégory Gadebois, Doria Tillier, Roschdy Zem, Fleur Fitoussi","France, Belgium","November 16, 2018",TV-MA,94 min,"Comedies, Dramas, International Movies","To spice up a dinner party, old friends agree to share every private message that pops up on their phones -- with disastrous results.",2018,6.8,14876.0
TV Show,Ponysitters Club,Unknown,"Morgan Neundorf, Madeline Leon, Khiyla Aynne, Cailan Laine Punnewaert, Zyon Allen, Maya Franzoi, Victoria Tomazelli, Hugh Wilson, Diana Chrisman",Canada,"November 16, 2018",TV-G,2 Seasons,"Kids' TV, TV Dramas",A young horse enthusiast teams up with her best friends to rescue and rehabilitate animals on her family's beloved ranch.,2018,6.0,116.0
Movie,The Ballad of Buster Scruggs,"Joel Coen, Ethan Coen","Liam Neeson, James Franco, Tim Blake Nelson, Tom Waits, Zoe Kazan, Brendan Gleeson",United States,"November 16, 2018",R,133 min,"Comedies, Dramas","Vignettes weaving together the stories of six individuals in the old West at the end of the Civil War. Following the tales of a sharp-shooting songster, a wannabe bank robber, two weary traveling performers, a lone gold prospector, a woman traveling the West to an uncertain future, and a motley crew of strangers undertaking a carriage ride.",2018,7.3,141528.0
Movie,The Princess Switch,Unknown,"Vanessa Hudgens, Sam Palladio, Nick Sagar, Suanne Braun, Mark Fleischmann, Amy Griffiths, Sara Stewart, Pavel Douglas, Robin Soans, Calliope Taylor, Natali Yura, Alexa Adeosun",United States,"November 16, 2018",TV-G,102 min,"Children & Family Movies, Dramas, Romantic Movies","When a down-to-earth Chicago baker and a soon-to-be princess discover they look like twins, they hatch a Christmastime plan to trade places.",2018,6.0,27650.0
TV Show,Vai Anitta,Unknown,Anitta,Brazil,"November 16, 2018",TV-MA,1 Season,"Docuseries, International TV Shows, Reality TV",Go behind the scenes with Brazilian superstar Anitta as the singer reveals how she's consolidating her international career.,2018,5.6,448.0
Movie,Christmas Wedding Planner,Justin G. Dyck,"Stephen Huszar, Kelly Rutherford",Canada,"November 15, 2018",PG,86 min,"Comedies, International Movies, Romantic Movies","Wedding Planner, Kelsey Wilson, is about to have her big break: planning her beloved cousin's lavish and exclusive wedding. Everything is going smoothly until Connor McClane, a devilishly handsome private investigator, shows up and turns Kelsey's world upside-down. Hired by a secret source, Connor quickly disrupts the upcoming nuptials but wins Kelsey's heart in the process.",2017,4.3,5913.0
Movie,May the Devil Take You,Timo Tjahjanto,"Chelsea Islan, Pevita Pearce, Samo Rafael, Karina Suwandhi, Ray Sahetapy, Ruth Marini, Hadijah Shahab, Clara Bernadeth, Kinaryosih, Nicole Rossi",Indonesia,"November 15, 2018",TV-MA,111 min,"Horror Movies, International Movies","Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past.",2018,5.9,4209.0
Movie,BuyBust,Erik Matti,"Anne Curtis, Brandon Vera, Victor Neri, Arjo Atayde, Levi Ignacio, Alex Calleja, Lao Rodriguez, Joross Gamboa, Ricky Pascua, Nonie Buencamino",Philippines,"November 13, 2018",TV-MA,128 min,"Action & Adventure, International Movies","A special forces team is sent to snuff out a drug den, but find themselves trapped inside it after being set-up and betrayed.",2018,5.8,1874.0
Movie,Loudon Wainwright III: Surviving Twin,Christopher Guest,Loudon Wainwright III,Unknown,"November 13, 2018",TV-14,92 min,Music & Musicals,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.,2018,7.1,94.0
TV Show,Warrior,Unknown,"Dar Salim, Danica Curcic, Lars Ranthe, Marco Ilsø, Søren Malling, Jakob Oftebro",Denmark,"November 13, 2018",TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament â€“ a path that puts the fighter on a collision course with his estranged, older brother.",2011,8.199999999999998,463276.0
TV Show,Warrior,Unknown,"Dar Salim, Danica Curcic, Lars Ranthe, Marco Ilsø, Søren Malling, Jakob Oftebro",Denmark,"November 13, 2018",TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A war veteran plagued by guilt over his final mission teams up with his best friend's widow to infiltrate a dangerous Copenhagen biker gang.,2018,6.7,1966.0
TV Show,Age of Tanks,Unknown,Unknown,"Germany, France, Russia","November 10, 2018",TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV","The history of the powerful weapon on land, the tank. Covers its entire history, from paper designs of the early-1900s to the beasts of the present day.",2017,7.3,852.0
Movie,Lommbock,Christian Zübert,"Lucas Gregorowicz, Moritz Bleibtreu, Louis Hofmann, Wotan Wilke Möhring, Alexandra Neldel, Melanie Winigir, Mavie Hörbiger, Dar Salim, Elmar Wepper, Antoine Monot Jr.",Germany,"November 9, 2018",TV-MA,106 min,"Comedies, International Movies",Sequel to Lammbock. Stefan and Kai meet again after years. Stefan became a successful lawyer in Dubai while Kai is stuck in their home town. Kai has relationship issues and is trying hard to get in touch with his step son who is getting in serious trouble with some drug dealers. Can Kai and Stefan solve his problems? And what happened to their old friend Frank?,2017,6.7,3647.0
TV Show,Medal of Honor,Unknown,"Oliver Hudson, Ben Schwartz, Paul Wesley, Aldis Hodge, Jonny Weston, Joseph Cross, Jake Abel, Derek Mio",United States,"November 9, 2018",TV-MA,1 Season,"Docuseries, TV Dramas","Honoring service members whose courage merited the awarding of a Medal of Honor, this docudrama series re-creates their inspiring true stories.",2018,8.199999999999998,1687.0
Movie,Outlaw King,David Mackenzie,"Chris Pine, Aaron Taylor-Johnson, Florence Pugh, Billy Howle, Sam Spruell, Tony Curran, Callan Mulvey, James Cosmo, Stephen Dillane","United Kingdom, United States","November 9, 2018",R,122 min,"Action & Adventure, Dramas","Forced into exile by the English after being crowned King of Scotland, legendary warrior Robert the Bruce fights to reclaim the throne.",2018,6.9,69834.0
TV Show,Super Drags,Unknown,"Fernando Mendonça, Sérgio Cantú, Wagner Follare, Pabllo Vittar, Silvetty Montilla, Rapha Vélez, Sylvia Salustti, Guilherme Briggs",Brazil,"November 9, 2018",TV-MA,1 Season,"International TV Shows, TV Comedies","In this adult animated series, three gay co-workers lead double lives as drag queen superheroes, saving the LGBTQ community from evil nemeses.",2018,5.4,1685.0
TV Show,The Queen of Flow,Unknown,"Carolina Ramírez, Carlos Torres, Andrés Sandoval, Adriana Arango, Mabel Moreno, Luis Alfredo Velasco, Pacho Rueda, Diana Wiswell, Mariana Garzón, Kiño, Sebastián Silva, Mariana Gómez, María José Vargas, Guillermo Blanco, Juan Manuel Restrepo, Alejandro Otero, David Ojalvo",Colombia,"November 9, 2018",TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","After spending seventeen years in prison unfairly, a talented songwriter seeks revenge on the men who sank her and killed her family.",2018,7.7,1202.0
